"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
392.7359551,213.5004382,303.4881679,203.3946984,174.1517252,325.7873105,376.0020345,187.0818396,268.0068,195.2652828,79.52119502
415.6585212,220.1161674,320.2581398,207.4966654,177.0801907,341.3620724,405.9852955,192.2152104,284.1208125,200.8745222,79.33336622
399.8861893,215.3816443,308.6937475,203.8451429,174.8157694,328.2923419,384.5187481,188.5404684,272.661849,196.6279768,79.47413007
419.4258553,222.3868154,322.6878232,213.170392,178.6086793,356.2211263,410.0845578,193.0685619,286.2140076,203.2043515,79.24120969
403.9896709,217.6608113,312.4370895,208.7687489,176.8671264,344.4396197,396.8728676,190.5883331,278.7127958,200.069455,79.36665086
380.712367,210.4700328,294.7240793,203.0272291,173.0235805,321.9589018,360.8134487,184.5393859,259.8385268,192.9195751,79.59912657
407.4558004,217.920417,312.9454323,207.3619967,175.5746968,335.7361591,386.5272736,189.1001462,274.1117295,197.8182782,79.41080016
417.9137258,220.9607636,319.2656662,209.8980087,176.214878,340.5626441,390.5355413,190.0156267,276.8366686,198.9516257,79.34810916
399.3457547,216.0124675,309.1760009,206.5587491,175.9738558,337.8880047,391.0236381,189.5391358,275.6003714,198.5361408,79.42103936
415.3755389,221.3752313,318.8555892,213.688854,177.8602698,354.0872517,399.2430762,191.3751162,280.6987661,201.6264161,79.27901033
402.6753794,215.3885773,308.2172905,202.5132099,173.2470103,318.6659794,370.2697712,186.4444589,266.1174892,193.7921751,79.53284474
418.7040043,221.8938257,320.6915922,212.5374617,177.4530164,349.8790902,398.2929532,191.289826,280.5491361,201.0347026,79.28828364
419.800064,221.8410794,322.0197698,210.9700455,177.492873,347.7447046,402.955116,191.9539068,282.9179069,201.323232,79.29063115
434.2762335,226.6733202,330.3143932,217.4182504,178.8799557,360.7808011,407.1123892,193.1280503,285.961438,203.5424476,79.17353548
423.4109016,222.4088041,322.5141176,210.6573791,176.422636,341.6085148,392.3846558,190.4597735,278.1458053,199.3575018,79.32241397
416.3580685,221.2600055,319.1829686,212.2174175,177.2804241,349.0875604,396.6133143,190.9573946,279.5632341,200.7028643,79.30279766
400.3583871,215.6555516,309.6351753,204.2394083,175.3338903,331.2025276,389.7611609,189.3357791,275.1775727,197.6015438,79.45281214
377.6516836,210.0802429,294.8811744,203.3379846,174.3828304,329.4989956,374.4663382,186.4871147,265.9967072,195.4206197,79.55565222
396.7232015,216.1412862,307.9185598,209.6812023,177.0375825,347.9926094,394.3909151,190.0624105,276.8708174,200.1434297,79.37843434
410.203431,218.2767129,313.8705281,206.5882665,174.9624199,331.3050641,382.1023234,188.4865553,272.2444267,196.7778674,79.42975564
386.5451254,212.6929749,299.5306311,206.2107356,174.6795005,333.4974232,373.4143779,186.6273117,266.1859261,195.8388618,79.50829001
382.5390231,210.3694842,296.2047298,200.6252949,172.7391662,316.7690899,363.7295414,184.9689387,261.4259632,192.6714979,79.61374782
403.4042252,216.3241872,309.4945061,205.1326641,174.3935462,327.661144,377.3074869,187.5743214,269.4439205,195.7220877,79.47558933
418.6681519,221.3897022,320.9882809,210.3792545,177.1614862,345.4938951,400.217499,191.506118,281.519962,200.7245309,79.30884194
412.3585257,219.1562861,315.1691156,208.1507563,175.3212627,334.880525,383.1050778,188.718448,272.8690137,197.33579,79.40451644
431.2816357,225.3942454,328.4332576,214.7818595,178.0870606,353.8767576,403.6398719,192.4546849,284.0993845,202.2494381,79.22063511
408.6218035,218.6089166,313.071536,209.3921833,175.6778814,338.9175569,383.2603229,188.688462,272.6118924,197.8158398,79.39633213
415.6502804,220.1175541,316.7212081,209.2599799,175.4128545,336.2432707,382.2325967,188.703806,272.6836414,197.4412209,79.38920261
391.4605464,214.14053,305.2432417,205.8822723,176.3421149,340.0074559,394.617363,189.8541077,276.6290309,199.1657695,79.43425675
411.4799564,221.1006102,317.9531871,215.7484201,179.3208561,364.8175709,409.3319477,192.8421127,285.1084623,204.095915,79.22863262
401.0436302,216.5194019,308.9137916,207.7822297,175.5181538,337.2034952,383.1929056,188.4557894,271.978967,197.545724,79.42883533
411.6776012,217.6959002,312.1086424,204.2119684,172.8945237,317.9567744,364.1453886,185.778266,263.8029144,193.0633726,79.51880568
375.1412815,209.2514755,291.6585683,203.1990395,173.2227588,324.1728269,361.0944837,184.4624248,259.5065195,193.176178,79.60654047
394.7988643,215.1954117,305.8545747,207.901551,175.9421835,340.5475826,385.9758783,188.7152454,272.7719832,198.2234821,79.42977253
404.3151608,216.3815206,309.8364999,204.6747578,174.209052,325.98627,376.4781297,187.4650181,269.1367758,195.4361876,79.48295229
393.6205028,215.0982685,305.1444659,208.6655149,176.1146008,342.7068845,385.7454522,188.6734066,272.5473903,198.4420721,79.42375711
374.683805,207.9456938,291.0391577,198.2079504,171.8199671,310.2656092,357.015988,183.7296646,257.6902511,191.0404532,79.68059924
423.7804002,221.4954655,321.9888634,207.1116797,175.1807487,330.8918821,386.7267415,189.5203457,275.5573172,197.3743068,79.38438415
383.8601648,211.4437188,297.9756379,203.3729642,173.9716322,326.4573376,371.58337,186.2085873,265.1695587,194.7537412,79.55236366
401.4472285,217.0720731,310.1608718,209.2572677,176.5376127,344.0938252,391.2062375,189.6973999,275.783609,199.3337173,79.38448156
401.8940705,215.9885965,308.1552103,205.3967188,174.1695226,327.2427033,373.7677056,187.009698,267.6289414,195.2360828,79.48774443
415.8678769,219.5008327,317.4620908,206.176915,174.9564304,329.8028255,384.5722787,188.9829243,273.9160788,196.917594,79.41584665
377.5275596,210.4389345,295.0387461,204.9273111,174.9175123,334.5028945,376.6071789,186.833102,266.9494913,196.2593462,79.53016135
417.860024,222.493135,319.9445326,216.1844414,178.13072,358.3735004,397.3303464,191.2333213,279.9702407,201.9293267,79.25224912
